slug,name,city,searchUrl
lamdre-restaurant,Lamdre,Beijing,https://www.tripadvisor.es/Search?q=Lamdre%20Beijing
lamdre-restaurant-restaurant,Lamdre,Beijing,https://www.tripadvisor.es/Search?q=Lamdre%20Beijing
lamp-bar-bar,Lamp Bar,Nara,https://www.tripadvisor.es/Search?q=Lamp%20Bar%20Nara
lasai-restaurant-restaurant-restaurant,Lasai,Rio de Janeiro,https://www.tripadvisor.es/Search?q=Lasai%20Rio%20de%20Janeiro
lasai-restaurant,Lasai,Rio de Janeiro,https://www.tripadvisor.es/Search?q=Lasai%20Rio%20de%20Janeiro
lasai-restaurant-restaurant,Lasai,Rio de Janeiro,https://www.tripadvisor.es/Search?q=Lasai%20Rio%20de%20Janeiro
le-bernadin-restaurant-restaurant,Le Bernardin,New York,https://www.tripadvisor.es/Search?q=Le%20Bernardin%20New%20York
le-bernadin-restaurant,Le Bernardin,New York,https://www.tripadvisor.es/Search?q=Le%20Bernardin%20New%20York
le-calandre-restaurant,Le Calandre,Rubano,https://www.tripadvisor.es/Search?q=Le%20Calandre%20Rubano
le-calandre-restaurant-restaurant,Le Calandre,Rubano,https://www.tripadvisor.es/Search?q=Le%20Calandre%20Rubano
le-chamber-bar,Le Chamber,Seoul,https://www.tripadvisor.es/Search?q=Le%20Chamber%20Seoul
le-chamber,Le Chamber,Seoul,https://www.tripadvisor.es/Search?q=Le%20Chamber%20Seoul
le-du-restaurant-restaurant,Le Du,Bangkok,https://www.tripadvisor.es/Search?q=Le%20Du%20Bangkok
le-du-restaurant-restaurant-restaurant,Le Du,Bangkok,https://www.tripadvisor.es/Search?q=Le%20Du%20Bangkok
le-du-restaurant,Le Du,Bangkok,https://www.tripadvisor.es/Search?q=Le%20Du%20Bangkok
le-veau-dor-restaurant,Le Veau d'Or,New York,https://www.tripadvisor.es/Search?q=Le%20Veau%20d'Or%20New%20York
le-veau-dor-restaurant-restaurant,Le Veau d'Or,New York,https://www.tripadvisor.es/Search?q=Le%20Veau%20d'Or%20New%20York
le-violon-restaurant,Le Violon,Montreal,https://www.tripadvisor.es/Search?q=Le%20Violon%20Montreal
le-violon-restaurant-restaurant,Le Violon,Montreal,https://www.tripadvisor.es/Search?q=Le%20Violon%20Montreal
leo-restaurant,Leo,Bogotá,https://www.tripadvisor.es/Search?q=Leo%20Bogot%C3%A1
les-amis-restaurant,Les Amis,Singapore,https://www.tripadvisor.es/Search?q=Les%20Amis%20Singapore
les-amis-restaurant-restaurant,Les Amis,Singapore,https://www.tripadvisor.es/Search?q=Les%20Amis%20Singapore
library-bar,Library Bar,Toronto,https://www.tripadvisor.es/Search?q=Library%20Bar%20Toronto
library-by-the-sea,Library by the Sea,Grand Cayman,https://www.tripadvisor.es/Search?q=Library%20by%20the%20Sea%20Grand%20Cayman
licoreria-limantour,Licorería Limantour,Mexico City,https://www.tripadvisor.es/Search?q=Licorer%C3%ADa%20Limantour%20Mexico%20City
lido-84-restaurant-restaurant,Lido 84,Gardone Riviera,https://www.tripadvisor.es/Search?q=Lido%2084%20Gardone%20Riviera
lido-84-restaurant,Lido 84,Gardone Riviera,https://www.tripadvisor.es/Search?q=Lido%2084%20Gardone%20Riviera
line,Line,Athens,https://www.tripadvisor.es/Search?q=Line%20Athens
line-bar,Line,Athens,https://www.tripadvisor.es/Search?q=Line%20Athens
ling-long-restaurant,Ling Long,Shanghai,https://www.tripadvisor.es/Search?q=Ling%20Long%20Shanghai
ling-long-restaurant-restaurant,Ling Long,Shanghai,https://www.tripadvisor.es/Search?q=Ling%20Long%20Shanghai
locale-firenze-bar,Locale Firenze,Florence,https://www.tripadvisor.es/Search?q=Locale%20Firenze%20Florence
locale-firenze,Locale Firenze,Florence,https://www.tripadvisor.es/Search?q=Locale%20Firenze%20Florence
locavore-nxt-restaurant,Locavore NXT,Ubud,https://www.tripadvisor.es/Search?q=Locavore%20NXT%20Ubud
locavore-nxt-restaurant-restaurant,Locavore NXT,Ubud,https://www.tripadvisor.es/Search?q=Locavore%20NXT%20Ubud
logy-restaurant-restaurant,Logy,Taipei,https://www.tripadvisor.es/Search?q=Logy%20Taipei
logy-restaurant,Logy,Taipei,https://www.tripadvisor.es/Search?q=Logy%20Taipei
maido-restaurant,Maido,Lima,https://www.tripadvisor.es/Search?q=Maido%20Lima
maido-restaurant-restaurant,Maido,Lima,https://www.tripadvisor.es/Search?q=Maido%20Lima
maison-premiere,Maison Premiere,New York,https://www.tripadvisor.es/Search?q=Maison%20Premiere%20New%20York
maito-restaurant,Maito,Panama City,https://www.tripadvisor.es/Search?q=Maito%20Panama%20City
manuel-restaurant,Manuel,Barranquilla,https://www.tripadvisor.es/Search?q=Manuel%20Barranquilla
